Book_name,Author,Rating,Book_genre_p,Book_genre_s,Book_ID
Laughable Loves,"Milan Kundera, Suzanne Rappaport ",3.87,Fiction,Classics,9180
"Gun, With Occasional Music",Jonathan Lethem,3.77,Fiction,Crime,9181
Cybele's Secret,Juliet Marillier ,4.08,Fantasy,Fiction,9182
Raptor Red,Robert T. Bakker,3.93,Fiction,Fantasy,9183
Blood Music,Greg Bear,3.82,Science Fiction,Cyberpunk,9184
Night Whispers,Erin Hunter,4.38,Fantasy,Childrens,9185
Disclosure,Michael Crichton,3.79,Fiction,Science Fiction,9186
Reaper,Rachel Vincent ,4.03,Young Adult,Novella,9187
Seize the Night,"Dean Koontz , Keith Szarabajka (Narrator)",4.08,Horror,Suspense,9188
Showdown,Ted Dekker ,3.94,Christian Fiction,Thriller,9189
Jerusalem Interlude,"Bodie Thoene , Brock Thoene",4.35,Historical Fiction,Fiction,9190
Munich Signature,"Bodie Thoene , Brock Thoene",4.39,Historical Fiction,Historical,9191
Afterimage,"Ais , Santino Hassell ",4.32,M M Romance,LGBT,9192
Start Something That Matters,Blake Mycoskie,4.02,Nonfiction,Self Help,9193
Age of Myth,Michael J. Sullivan ,4.24,Fantasy,Audiobook,9194
The Gender Game,Bella Forrest ,3.82,Dystopia,Science Fiction,9195
Red is for Remembrance,Laurie Faria Stolarz ,4.07,Young Adult,Witches,9196
Of Mice and Men/Cannery Row,John Steinbeck,4.16,Fiction,Literature,9197
The Little House,Virginia Lee Burton,4.29,Picture Books,Juvenile,9198
"Love★Com, Vol. 1","Aya Nakahara, Pookie Rolf ",4.22,Manga,Shojo,9199
Son of the Morning,Linda Howard,3.96,Romance,Paranormal,9200
Falling Angels,Tracy Chevalier ,3.58,Historical Fiction,Adult Fiction,9201
"And the Band Played On: Politics, People, and the AIDS Epidemic","Randy Shilts, William Greider ",4.36,Nonfiction,LGBT,9202
Respectable Sins: Confronting the Sins We Tolerate,Jerry Bridges,4.32,Christian,Christianity,9203
The Gentle Spirit,Fyodor Dostoyevsky,3.89,Classics,Russian Literature,9204
How to Stop Worrying and Start Living,Dale Carnegie,4.14,Self Help,Business,9205
The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,3.96,History,History Of Science,9206
Because I Am Furniture,Thalia Chaltas,3.84,Young Adult,Fiction,9207
Rapunzel's Revenge,"Shannon Hale , Nathan Hale  , Dean Hale",3.88,Graphic Novels,Adventure,9208
A Beautiful Evil,Kelly Keaton ,4.15,Young Adult,Vampires,9209
Endure,Carrie Jones ,4.08,Young Adult,Fairies,9210
Born of Shadows,Sherrilyn Kenyon ,4.37,Romance,Paranormal,9211
Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet ,3.84,Nonfiction,Autobiography,9212
H is for Hawk,Helen Macdonald,3.73,Nonfiction,Animals,9213
Uninvited,Sophie Jordan ,3.87,Young Adult,Fantasy,9214
Nails,D.M. Samson ,4.93,NA,NA,9215
The War I Finally Won,Kimberly Brubaker Bradley ,4.49,Historical Fiction,Historical,9216
The Red Scrolls of Magic,"Cassandra Clare , Wesley Chu ",4.2,Fantasy,Urban Fantasy,9217
Dark Descent into Desire,J.J. Sorel ,4.21,Drama,Novels,9218
An Anthropologist on Mars: Seven Paradoxical Tales,Oliver Sacks,4.16,Nonfiction,Medicine,9219
Laddie: A True Blue Story,Gene Stratton-Porter,4.23,Classics,Childrens,9220
A Wayside Tavern,Norah Lofts,4.2,Historical Fiction,Historical Romance,9221
The Comedy of Errors,"William Shakespeare, Özdemir Nutku (Çevirmen)",3.74,Classics,Theatre,9222
A Marvelous Work and a Wonder,LeGrand Richards,4.33,Religion,Spirituality,9223
"Scott Pilgrim, Volume 4: Scott Pilgrim Gets It Together","Bryan Lee O'Malley (Writer, Artist), Steve Buccellato ",4.32,Graphic Novels,Graphic Novels Comics,9224
The Time Trilogy,Madeleine L'Engle,4.36,Fantasy,Science Fiction,9225
Humboldt's Gift,Saul Bellow,3.86,Fiction,American,9226
The Last Child,John Hart ,4.13,Mystery,Crime,9227
Runaway,Wendelin Van Draanen ,4.11,Young Adult,Survival,9228
"The Walking Dead, Vol. 2: Miles Behind Us","Robert Kirkman, Charlie Adlard , Cliff Rathburn ",4.24,Graphic Novels,Fiction,9229
"Twilight: The Graphic Novel, Vol. 2","Young Kim (Art/Adaptation), Stephenie Meyer (Creator)",4.28,Graphic Novels,Fantasy,9230
Envy,J.R. Ward ,4.22,Paranormal,Fantasy,9231
Crave,Melissa Darnell ,3.79,Vampires,Romance,9232
"Citizens of London: The Americans who Stood with Britain in its Darkest, Finest Hour",Lynne Olson ,4.23,History,British Literature,9233
The Warlord of Mars,"Edgar Rice Burroughs, John Bolen (Narrated by)",3.87,Science Fiction,Adventure,9234
Avatar The Last Airbender: The Art of the Animated Series,"Michael Dante DiMartino , Bryan Konietzko",4.52,Art,Comics,9235
Bloodthirsty,Flynn Meaney ,3.78,Young Adult,Fiction,9236
The Success Principles: How to Get from Where You Are to Where You Want to Be,"Jack Canfield, Janet Switzer",4.28,Self Help,Psychology,9237
Wicked as They Come,Delilah S. Dawson ,3.64,Steampunk,Paranormal Romance,9238
"Crooked Letter, Crooked Letter","Tom Franklin , 伏見 威蕃 (翻訳)",3.84,Mystery,Mystery Thriller,9239
Up to Me,Michelle Leighton ,4.11,Romance,Erotica,9240
Reasons I Fell for the Funny Fat Friend,"Cassie Mae , Becca Ann  (pseudonym)",3.94,Young Adult,High School,9241
Don't Let Me Go,Catherine Ryan Hyde ,4.17,Fiction,Audiobook,9242
The Last Days of Lorien,Pittacus Lore,4.18,Young Adult,Fiction,9243
Inevitable,Angela Graham ,4.07,Romance,Chick Lit,9244
Sleep,Haruki Murakami,3.53,Fiction,Novels,9245
Shards of Hope,Nalini Singh ,4.32,Paranormal,Urban Fantasy,9246
White Knight Dom Academy 2nd Semester,Lucian Bane ,4.41,BDSM,Erotic Romance,9247
Closer,Patrick Marber,3.99,Plays,Romance,9248
Whip Hand,Dick Francis,4.1,Mystery,Mystery Thriller,9249
Sweetheart,Chelsea Cain ,4.05,Mystery,Suspense,9250
Whistling In the Dark,Lesley Kagen ,3.87,Fiction,Adult Fiction,9251
Mackenzie's Legacy: Mackenzie's Mountain / Mackenzie's Mission,Linda Howard,4.28,Romance,Fiction,9252
The Angel of Darkness,Caleb Carr ,4,Mystery,Thriller,9253
Assassins,"Tim LaHaye, Jerry B. Jenkins ",4,Christian Fiction,Fantasy,9254
The Hob's Bargain,Patricia Briggs,3.98,Fantasy,Science Fiction Fantasy,9255
I Have Lived a Thousand Years,Livia Bitton-Jackson,4.16,Holocaust,Memoir,9256
The Truth of the Matter,Andrew Klavan ,4.32,Young Adult,Thriller,9257
Letters to a Young Contrarian,Christopher Hitchens,4.14,Nonfiction,Religion,9258
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,"Miep Gies, Alison Leslie Gold",4.29,Nonfiction,Memoir,9259
Hunt the Moon,Karen Chance ,4.25,Urban Fantasy,Magic,9260
The Candymakers,Wendy Mass ,4.31,Middle Grade,Childrens,9261
Where Are You Now?,Mary Higgins Clark,3.79,Mystery,Mystery Thriller,9262
The Postman,"Antonio Skármeta, Katherine Silver ",3.7,Fiction,Literature,9263
An On Dublin Street Christmas,Samantha Young ,4.15,Romance,Adult,9264
Chains,Laurie Halse Anderson ,4.1,Historical Fiction,Middle Grade,9265
All My Friends Are Dead,"Avery Monsen , Jory John",4.2,Humor,Childrens,9266
Public Secrets,Nora Roberts ,4.03,Romance,Fiction,9267
Carrie / 'Salem's Lot / The Shining,Stephen King ,4.55,Horror,Vampires,9268
"True Confessions of Adrian Albert Mole, Margaret Hilda Roberts and Susan Lilian Townsend",Sue Townsend,3.57,Fiction,Contemporary,9269
The Devils of Loudun,Aldous Huxley,3.9,History,Literature,9270
The Halloween Tree,Ray Bradbury,3.83,Fantasy,Classics,9271
Eeny Meeny,M.J. Arlidge,3.92,Thriller,Mystery Thriller,9272
Nothing but Shadows,"Cassandra Clare , Sarah Rees Brennan , Nico Mirallegro (Narrator)",4.43,Fantasy,Urban Fantasy,9273
Bright We Burn,Kiersten White ,4.35,Historical Fiction,LGBT,9274
The Young Wizards,Diane Duane ,4.34,Fantasy,Wizards,9275
A Woman After God's Own Heart,Elizabeth George ,4.32,Christian,Christianity,9276
Mister Pip,Lloyd Jones,3.68,Historical Fiction,Contemporary,9277
Even Now,Karen Kingsbury ,4.27,Christian Fiction,Chick Lit,9278
Fatal Voyage,Kathy Reichs ,4.04,Mystery,Mystery Thriller,9279
The Shadow Lines,Amitav Ghosh,3.85,Fiction,Asia,9280
Grave Surprise,Charlaine Harris ,3.89,Mystery,Supernatural,9281
Imperial Woman,Pearl S. Buck,4.05,Historical Fiction,Historical,9282
"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World","Bryan Lee O'Malley (Writer, Artist)",4.24,Graphic Novels,Graphic Novels Comics,9283
I Am One of You Forever,Fred Chappell,4.1,Fiction,School,9284
Big Bad Beast,Shelly Laurenston,4.37,Paranormal,Fantasy,9285
Yours Until Dawn,Teresa Medeiros ,4.08,Historical Romance,Historical Fiction,9286
Sacred Games,Vikram Chandra,3.93,Fiction,Thriller,9287
When You Were Mine,Rebecca Serle ,3.77,Young Adult,Fiction,9288
Birth of a Killer,Darren Shan ,4.25,Horror,Paranormal,9289
Sons of Fortune,Jeffrey Archer,3.87,Fiction,Mystery,9290
Warrior Rising,P.C. Cast ,4.14,Romance,Paranormal,9291
Stone Fox,"John Reynolds Gardiner, Greg Hargreaves ",4.04,Fiction,Realistic Fiction,9292
Blackmoore,Julianne Donaldson ,4.17,Romance,Fiction,9293
The Legacies,Pittacus Lore,4.26,Young Adult,Fiction,9294
Relentless,Cassia Leo ,4.07,New Adult,College,9295
Without Dogma,Henryk Sienkiewicz,4.11,Classics,19th Century,9296
Blink Once,Cylin Bus,4.01,Young Adult,Fantasy,9297
Incandescent,River Savage ,4.1,Romance,Adult,9298
Forest of the Pygmies,"Isabel Allende , Margaret Sayers Peden",3.78,Fantasy,Magical Realism,9299
Unseen,Karin Slaughter ,4.19,Mystery,Mystery Thriller,9300
"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster,3.89,Chick Lit,Biography,9301
Coming of Age in the Milky Way,Timothy Ferris ,4.15,Science,Physics,9302
The Last Picture Show,Larry McMurtry,3.97,Fiction,Literature,9303
The Complete Stories of Truman Capote,"Truman Capote, Reynolds Price ",4.2,Short Stories,American,9304
Queen of Camelot,Nancy McKenzie,4.07,Fantasy,Romance,9305
Trumpet,Jackie Kay ,4.06,Fiction,Music,9306
Shadowmarch,Tad Williams ,3.74,Fantasy,Science Fiction Fantasy,9307
The Veldt,"Ray Bradbury, Gary Kelley",4.21,Short Stories,Horror,9308
Sharpe's Eagle,Bernard Cornwell ,4.26,Historical Fiction,Adventure,9309
Night Probe!,Clive Cussler,3.9,Fiction,Mystery,9310
The Lake House,James Patterson ,3.8,Fiction,Science Fiction,9311
"The Walking Dead, Vol. 3: Safety Behind Bars","Robert Kirkman, Charlie Adlard , Cliff Rathburn ",4.3,Graphic Novels,Fiction,9312
Boomerang: Travels in the New Third World,Michael Lewis,3.9,Nonfiction,History,9313
So Much More,"Anna Sofia Botkin, Elizabeth Botkin",3.58,Nonfiction,Theology,9314
Bury Your Dead,Louise Penny ,4.35,Mystery,Audiobook,9315
The Snail on the Slope,"Arkady Strugatsky, Boris Strugatsky",3.96,Science Fiction,Russian Literature,9316
The Calling,David Gaider,3.83,Fantasy,Gaming,9317
I Spit on Your Graves,"Boris Vian, Vernon Sullivan",3.6,Fiction,Roman,9318
Crush It!: Why Now Is the Time to Cash In on Your Passion,Gary Vaynerchuk ,3.89,Business,Personal Development,9319
Masterpiece,"Elise Broach, Kelly Murphy  ",3.92,Mystery,Art,9320
I Am Apache,Tanya Landman,4.04,Young Adult,Realistic Fiction,9321
The Giant's House,Elizabeth McCracken,3.67,Fiction,Novels,9322
"Batman, Volume 3: Death of the Family","Scott Snyder  (Writer), Greg Capullo , Jonathan Glapion ",4.33,Comics,Comic Book,9323
Smoke,Ellen Hopkins ,4.33,Young Adult,Realistic Fiction,9324
Mom & Me & Mom,Maya Angelou,4.2,Nonfiction,Audiobook,9325
Whisper of Death,Christopher Pike,3.79,Young Adult,Teen,9326
The Book of Tea,"Kakuzō Okakura, Elise Grilli",3.85,Nonfiction,Classics,9327
Blood's Fury,C.M. Owens ,4.27,Paranormal,Vampires,9328
Gone,Lisa Gardner ,4.19,Mystery,Crime,9329
The Turning,Lucian Bane ,4.21,Paranormal,Fantasy Romance,9330
From the Start,Melissa Tagg ,4.15,Romance,Christian Romance,9331
"John Green the Collection: Looking for Alaska / An Abundance of Katherines / Paper Towns / Will Grayson, Will Grayson / The Fault in Our Stars",John Green ,4.53,Fiction,NA,9332
The Complete Poems,"Anne Sexton, Maxine Kumin",4.28,Poetry,20th Century,9333
Black Rose,Nora Roberts ,4.06,Romance,Contemporary,9334
Artemisia,"Alexandra Lapierre, Liz Heron  ",3.94,Historical Fiction,Art History,9335
Undead and Unappreciated,MaryJanice Davidson ,3.88,Vampires,Fantasy,9336
Coming Home,Rosamunde Pilcher,4.31,Fiction,World War II,9337
Crazy in Alabama,Mark Childress ,3.96,Fiction,Coming Of Age,9338
The Fourth Hand,John Irving ,3.31,Fiction,Literary Fiction,9339
"Tunnel in the Sky (Heinlein's Juveniles, #9)",Robert A. Heinlein,3.94,Science Fiction,Survival,9340
The Tiger in the Well,Philip Pullman,3.9,Young Adult,Adventure,9341
Violin,Anne Rice,3.29,Fiction,Supernatural,9342
Leven Thumps and the Eyes of the Want,"Obert Skye, Ben Sowards ",3.97,Fantasy,Magic,9343
Ecotopia,Ernest Callenbach,3.59,Fiction,Dystopia,9344
The White Road,John Connolly ,4.17,Mystery,Horror,9345
Say Cheese and Die!,R.L. Stine ,3.76,Horror,Middle Grade,9346
The Secret Island,"Enid Blyton, Dudley Wynne ",4.2,Childrens,Classics,9347
Woman at Point Zero,"Nawal El Saadawi, Sherif Hetata ",4.08,Fiction,Womens,9348
The Home and the World,"Rabindranath Tagore, Surendranath Tagore , William Radice (Preface), Anita Desai ",3.83,Fiction,Indian Literature,9349
Go the F**k to Sleep,"Adam Mansbach , Ricardo Cortés ",4.27,Humor,Comedy,9350
Ruining You,Nicole Reed ,4.24,Romance,Contemporary,9351
"""Repent, Harlequin!"" Said the Ticktockman","Harlan Ellison, Rick Berry ",4.19,Science Fiction,Fantasy,9352
The Family Moskat,Isaac Bashevis Singer,4.19,Fiction,Poland,9353
Georgiana: Duchess of Devonshire,Amanda Foreman,3.79,History,Biography Memoir,9354
The Radetzky March,"Joseph Roth, Michael Hofmann ",4.08,Fiction,Literature,9355
Breakable,Tammara Webber ,4.05,New Adult,Contemporary Romance,9356
The Skinner,Neal Asher ,4.14,Science Fiction,Horror,9357
Cibola Burn,James S.A. Corey ,4.17,Science Fiction,Space,9358
There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,4.28,Nonfiction,Poverty,9359
Mona Lisa Overdrive,William Gibson,3.99,Science Fiction,Dystopia,9360
Old School,Tobias Wolff,3.83,Fiction,American,9361
"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha N. Beck ,3.82,Memoir,Spirituality,9362
Shatterglass,Tamora Pierce ,4.19,Fantasy,Young Adult Fantasy,9363
Anne Rice's The Vampire Lestat: A Graphic Novel,"Faye Perozich, Anne Rice (Original Story), John Bolton , Daerick Gröss ",4.2,Horror,Fiction,9364
Secret Vampire,L.J. Smith ,3.72,Young Adult,Romance,9365
The Grey King,Susan Cooper ,4.17,Fantasy,Middle Grade,9366
"Carry On, Jeeves",P.G. Wodehouse,4.27,Fiction,Comedy,9367
Born in Fire,Nora Roberts ,4.22,Romance,Chick Lit,9368
The Owl Killers,Karen Maitland ,3.8,Historical Fiction,Medieval,9369
Dream Chaser,Sherrilyn Kenyon ,4.2,Paranormal Romance,Vampires,9370
Be Here Now,"Ram Dass, Richard Alpert",4.28,Spirituality,Self Help,9371
Live to Tell,Lisa Gardner ,4.18,Mystery,Crime,9372
Immortal Danger,Cynthia Eden ,4.15,Paranormal Romance,Urban Fantasy,9373
Dark Demon,Christine Feehan ,4.36,Paranormal Romance,Fantasy,9374
Tamar,Mal Peet,3.91,Historical Fiction,Mystery,9375
Mutiny on the Bounty,"Charles Bernard Nordhoff, James Norman Hall",3.99,Classics,Historical,9376
Neon Angel,"Cherie Currie, Neal Shusterman ",3.97,Music,Autobiography,9377
Batman: Dark Victory,"Jeph Loeb, Tim Sale ",4.13,Comics,Comic Book,9378
One Salt Sea,Seanan McGuire ,4.32,Urban Fantasy,Fiction,9379
The Art Book,Phaidon Press,3.83,Art,History,9380
Now Wait for Last Year,Philip K. Dick,3.89,Science Fiction,Speculative Fiction,9381
The Search for Sam,Pittacus Lore,4.24,Science Fiction,Novella,9382
The Iron Heel,"Jack London, Matt Soar (Narrator)",3.77,Fiction,Politics,9383
Extreme Exposure,Pamela Clare ,3.92,Romance,Contemporary,9384
Starry River of the Sky,Grace Lin ,4.13,Fantasy,China,9385
Happy Accidents,"Jane Lynch, Lisa Dickey ",3.69,Nonfiction,LGBT,9386
The Case of the Peculiar Pink Fan,Nancy Springer ,4.14,Mystery,Fiction,9387
The Case of the Bizarre Bouquets,"Nancy Springer , Peter Ferguson (Cover Illustrator)",4.12,Mystery,Fiction,9388
Extreme Measures,Vince Flynn,4.3,Thriller,Action,9389
The Two-Bear Mambo,Joe R. Lansdale,4.13,Mystery,Noir,9390
Finding Serendipity,"Angelica Banks , Stevie Lewis  ",4.12,Fantasy,Fiction,9391
Criminal,Karin Slaughter ,4.23,Mystery,Mystery Thriller,9392
Walden Two,B.F. Skinner,3.5,Fiction,Classics,9393
The Collected Poems,Wallace Stevens,4.27,Poetry,20th Century,9394
The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,4.67,Comics,Comic Strips,9395
"A Pattern Language: Towns, Buildings, Construction","Christopher W. Alexander, Sara Ishikawa, Murray Silverstein, Max Jacobson , Ingrid Fiksdahl-King, Shlomo Angel",4.4,Architecture,Philosophy,9396
The Call of Earth,Orson Scott Card,3.59,Science Fiction,Adult,9397
The Queen of Bedlam,Robert R. McCammon,4.25,Historical Fiction,Historical,9398
Indian Creek Chronicles: A Winter Alone in the Wilderness,Pete Fromm ,4.21,Nonfiction,Outdoors,9399
From Bad to Cursed,Katie Alender ,4.19,Young Adult,Fantasy,9400
The Death of Kings,Conn Iggulden,4.28,Historical Fiction,Fantasy,9401
Bloodline,James Rollins ,4.21,Thriller,Mystery,9402
Leif,Abbi Glines ,3.6,Paranormal,Paranormal Romance,9403
Scorched,Mari Mancusi ,3.78,Fantasy,Paranormal,9404
"Agent Zigzag: A True Story of Nazi Espionage, Love, and Betrayal",Ben Macintyre,4.1,Nonfiction,Espionage,9405
A Spool of Blue Thread,Anne Tyler ,3.42,Fiction,Family,9406
The Lost Heiress,Roseanna M. White ,4.14,Historical Fiction,Historical,9407
"John Le Carré: Three Complete Novels [Tinker, Tailor, Soldier, Spy / The Honourable Schoolboy / Smiley's People]",John le Carré,4.47,Fiction,Novels,9408
"Scientific Progress Goes ""Boink""",Bill Watterson,4.73,Comics,Comic Book,9409
Bones of Faerie,Janni Lee Simner ,3.62,Fantasy,Fae,9410
Someday,Karen Kingsbury ,4.41,Christian Fiction,Christian Romance,9411
A Morbid Taste for Bones,Ellis Peters,3.97,Mystery,Crime,9412
Hitler and Stalin: Parallel Lives,Alan Bullock,4.16,History,Politics,9413
The Black Tattoo,Sam Enthoven,3.49,Fantasy,Urban Fantasy,9414
The Black Book of Secrets,F.E. Higgins,3.88,Fantasy,Middle Grade,9415
"Juliet, Naked",Nick Hornby,3.49,Fiction,Humor,9416
Eden,"Stanisław Lem, Marc E. Heine ",3.91,Science Fiction,Science Fiction Fantasy,9417
A High Wind in Jamaica,"Richard Hughes, Francine Prose  ",3.78,Fiction,Novels,9418
"To Sir Phillip, With Love",Julia Quinn ,3.89,Historical Romance,Regency,9419
The Tower Treasure,"Franklin W. Dixon, Walter S. Rogers , Leslie McFarlane ",3.91,Young Adult,Fiction,9420
Personal Demon,Kelley Armstrong ,4.08,Urban Fantasy,Romance,9421
Possession,Elana Johnson ,3.59,Dystopia,Fantasy,9422
Bonded,Nicky Charles ,4.16,Paranormal,Fantasy,9423
The 3 Mistakes of My Life,Chetan Bhagat,3.02,Fiction,Novels,9424
The Lion's Paw,"Robb White, Ralph Ray ",4.41,Fiction,Young Adult,9425
The Medusa Plot,Gordon Korman,4.08,Adventure,Fiction,9426
The Bourne Ultimatum,Robert Ludlum,4.05,Fiction,Action,9427
Evil Under the Sun,Agatha Christie,3.98,Mystery,Detective,9428
Pieces of You,Cassia Leo ,4.21,Romance,Contemporary,9429
A Darkling Plain,Philip Reeve ,4.2,Young Adult,Fiction,9430
Keegan's Lady,Catherine Anderson ,4.11,Historical Romance,Western Romance,9431
The Return,Jennifer L. Armentrout ,4.27,New Adult,Mythology,9432
Ruining Me,Nicole Reed ,4.04,Romance,Abuse,9433
Predator's Gold,Philip Reeve ,3.96,Young Adult,Fiction,9434
The Virgin of Small Plains,Nancy Pickard,3.87,Mystery,Crime,9435
Alice,Christina Henry ,3.86,Fantasy,Adult,9436
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.1,Nonfiction,History,9437
Long Road to Mercy,David Baldacci ,3.88,Thriller,Crime,9438
Knuffle Bunny: A Cautionary Tale,Mo Willems,4.26,Picture Books,Realistic Fiction,9439
Into the Woods,"Erin Hunter (Creator), Dan Jolley , Don Hudson ",4.11,Manga,Comics,9440
"To Green Angel Tower, Part 2",Tad Williams ,4.21,Fantasy,Science Fiction Fantasy,9441
American Star,Jackie Collins,3.96,Romance,Contemporary,9442
"The Lion, the Witch and the Wardrobe / The Magician's Nephew",C.S. Lewis,4.27,Fantasy,Childrens,9443
The Mulberry Tree,Jude Deveraux,3.82,Romance,Chick Lit,9444
Steel,Carrie Vaughn ,3.42,Fantasy,Pirates,9445
Voices of Dragons,Carrie Vaughn ,3.7,Fantasy,Fiction,9446
I Have No Mouth and I Must Scream,"Harlan Ellison, Theodore Sturgeon ",3.98,Science Fiction,Fantasy,9447
Practical Ethics,Peter Singer ,4.06,Philosophy,Academic,9448
The Finding,Nicky Charles ,4.18,Paranormal,Fantasy,9449
The Diamond of Drury Lane,Julia Golding ,4.04,Historical Fiction,Adventure,9450
An Artificial Night,Seanan McGuire ,4.18,Urban Fantasy,Fiction,9451
The Souls of Black Folk,"W.E.B. Du Bois, Donald B. Gibson , Monica W. Elbert ",4.26,Nonfiction,Essays,9452
All Together in One Place,Jane Kirkpatrick ,3.98,Historical Fiction,Historical,9453
The Rose and the Thorn,Michael J. Sullivan ,4.4,Fantasy,Adventure,9454
The Case of the Missing Marquess,Nancy Springer ,3.86,Mystery,Fiction,9455
There You'll Find Me,Jenny B. Jones ,4.07,Young Adult,Christian,9456
Silent Scream,Angela Marsons ,4.05,Mystery,Mystery Thriller,9457
Chaos: Making a New Science,James Gleick ,4.02,Science,Popular Science,9458
Genesis,Miranda Nading ,4.38,NA,NA,9459
The Darkest Kiss,Keri Arthur ,4.21,Urban Fantasy,Fantasy,9460
Brazil,John Updike,3.46,Fiction,Magical Realism,9461
The Way We Live Now,Anthony Trollope,4.06,Classics,Literature,9462
Last Light,Terri Blackstock ,4.2,Christian Fiction,Suspense,9463
The Missionary Position: Mother Teresa in Theory and Practice,Christopher Hitchens,4.06,Nonfiction,History,9464
Then He Ate My Boy Entrancers,Louise Rennison,4.09,Young Adult,Chick Lit,9465
Temple,Matthew Reilly,4.06,Thriller,Mystery,9466
Strength in What Remains: A Journey of Remembrance and Forgiveness,Tracy Kidder,4.02,Nonfiction,History,9467
"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",David McCullough,4.2,History,World History,9468
Dialogues Concerning Natural Religion,"David Hume, Richard H. Popkin (editor)",3.97,Philosophy,Theology,9469
A Dog's Journey,W. Bruce Cameron ,4.41,Fiction,Audiobook,9470
The Colossus of Maroussi,Henry Miller,3.99,Travel,Memoir,9471
Night Without End,Alistair MacLean,3.82,Thriller,Crime,9472
The Third Wedding,"Costas Taktsis, John Chioles , Κώστας Ταχτσής",4.18,Fiction,Classics,9473
The Mirror,Marlys Millhiser,4.03,Time Travel,Science Fiction,9474
"We, the Drowned","Carsten Jensen, Charlotte Barslund , Liz Jensen , Emma Ryder (Translation)",4.24,Historical Fiction,Adventure,9475
Mermaid,Carolyn Turgeon ,3.63,Fantasy,Fiction,9476
Vitro,Jessica Khoury ,3.65,Young Adult,Romance,9477
Baby Love,Catherine Anderson ,4.04,Romance,Adult,9478
The Complete Plays,"Sophocles, Paul Roche ",4.27,Classics,Mythology,9479
Tempus Unbound,"Janet E. Morris , Chris Morris",4.13,Fantasy,NA,9480
Destination Moon,"Hergé, Leslie Lonsdale-Cooper , Michael Turner ",4.19,Comics,Fiction,9481
Wings of a Sparrow,Dougie Brimson ,4.2,NA,NA,9482
The Law of Attraction,N.M. Silber ,3.76,Romance,Chick Lit,9483
The Feast of Love,Charles Baxter,3.69,Fiction,Literary Fiction,9484
Layer Cake,J.J. Connolly,3.99,Fiction,British Literature,9485
Privilege,Kate Brian,3.96,Young Adult,Contemporary,9486
Five Plays: Ivanov / The Seagull / Uncle Vanya / The Three Sisters / The Cherry Orchard,"Anton Chekhov, Ronald Hingley ",4.18,Plays,Fiction,9487
Another Bullshit Night in Suck City,Nick Flynn,3.79,Memoir,Poetry,9488
Miracles,C.S. Lewis,4.05,Christian,Christianity,9489
The Enchanted Barn,Grace Livingston Hill,4.28,Romance,Classics,9490
Evercrossed,Elizabeth Chandler,4.04,Young Adult,Paranormal,9491
Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,David Lipsky,3.9,Nonfiction,Writing,9492
The Fry Chronicles,Stephen Fry,3.87,Nonfiction,Humor,9493
Unlovable,Sherry Gammon ,4.03,Young Adult,High School,9494
The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,3.94,Science,Spirituality,9495
"The Ear, the Eye, and the Arm",Nancy Farmer ,3.86,Young Adult,Childrens,9496
The Bear and the Dragon,Tom Clancy,3.84,Fiction,Action,9497
Altar of Bones,Philip Carter,3.7,Thriller,Suspense,9498
Try Me,Olivia Cunning ,3.87,Romance,Erotic Romance,9499
The Witch Hunter,Nicole R. Taylor ,3.62,Paranormal,Witches,9500
The Bar Code Tattoo,Suzanne Weyn,3.55,Young Adult,Romance,9501
Fear of Falling,S.L. Jennings ,4.11,New Adult,Contemporary,9502
Five Little Pigs,Agatha Christie,4.01,Mystery,Detective,9503
My Sunshine,Catherine Anderson ,4.17,Romance,Westerns,9504
Here to Stay,Catherine Anderson ,4.09,Romance,Westerns,9505
The Case of the Gypsy Good-Bye,Nancy Springer ,4.24,Mystery,Middle Grade,9506
How I Taught My Grandmother to Read and Other Stories,Sudha Murty,4.09,Short Stories,Anthologies,9507
The Chief,Monica McCarty ,4.06,Historical Romance,Medieval,9508
Renegade,Erica Stevens ,4.14,Vampires,Paranormal Romance,9509
Refugee,Erica Stevens ,4.26,Vampires,Fantasy,9510
Redeemed,"P.C. Cast , Kristin Cast ",3.99,Young Adult,Romance,9511
Moonwalk,Michael Jackson,4.3,Nonfiction,Memoir,9512
Bone Gap,Laura Ruby,3.83,Young Adult,Fiction,9513
The Ship of the Dead,Rick Riordan ,4.39,Fantasy,Fiction,9514
Camp Half-Blood Confidential,"Rick Riordan , Jesse Bernstein  (Narrator)",4.19,Fantasy,Fiction,9515
